surgery,age,rectal_temp,pulse,resp_rate,temp_extr,peri_pulse,mucosus_memb,cap_refill_time,pain,peristalsis,abd_distension,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_PH,rectal_examination,abdomen,packed_cell_volume,total_protein,abdominocentesis_app,abd_total_protein,outcome,surgical_lesion
2,1,38.5,66,28,3,3,1,2,5,4,4,2,1,4.707547,3,5,45,8.4,2,3.019608,2,2
1,1,39.2,88,20,3,1,4,1,3,4,2,2,1,4.707547,4,2,50,85,2,2,3,2
2,1,38.3,40,24,1,1,3,1,3,3,1,2,1,4.707547,1,1,33,6.7,2,3.019608,1,2
1,9,39.1,164,84,4,1,6,2,2,4,4,1,2,5,3,5,48,7.2,3,5.3,2,1
2,1,37.3,104,35,3,1,6,2,3,3,1,2,1,4.707547,4,5,74,7.4,2,3.019608,2,2
2,1,38.167917,71.913043,30.417355,2,1,3,1,2,3,2,2,1,4.707547,3,3,46.295203,24.456929,2,3.019608,1,2
1,1,37.9,48,16,1,1,1,1,3,3,3,1,1,4.707547,3,5,37,7,2,3.019608,1,1
1,1,38.167917,60,30.417355,3,1,1,1,3,4,2,2,1,4.707547,3,4,44,8.3,2,3.019608,2,1
2,1,38.167917,80,36,3,4,3,1,4,4,4,2,1,4.707547,3,5,38,6.2,2,3.019608,3,1
2,9,38.3,90,30.417355,1,1,1,1,5,3,1,2,1,4.707547,3,5,40,6.2,1,2.2,1,2
1,1,38.1,66,12,3,3,5,1,3,3,1,2,1,3,2,5,44,6,2,3.6,1,1
2,1,39.1,72,52,2,1,2,1,2,1,2,1,1,4.707547,4,4,50,7.8,2,3.019608,1,1
1,1,37.2,42,12,2,1,1,1,3,3,3,3,1,4.707547,4,5,46.295203,7,2,3.019608,1,2
2,9,38,92,28,1,1,2,1,1,3,2,3,1,7.2,1,1,37,6.1,1,3.019608,2,2
1,1,38.2,76,28,3,1,1,1,3,4,1,2,2,4.707547,4,4,46,81,1,2,1,1
1,1,37.6,96,48,3,1,4,1,5,3,3,2,3,4.5,4,5,45,6.8,2,3.019608,2,1
1,9,38.167917,128,36,3,3,4,2,4,4,3,3,1,4.707547,4,5,53,7.8,3,4.7,2,2
2,1,37.5,48,24,3,1,1,1,3,3,1,2,1,4.707547,4,5,46.295203,24.456929,2,3.019608,1,2
1,1,37.6,64,21,1,1,2,1,2,3,1,1,1,4.707547,2,5,40,7,1,3.019608,1,1
2,1,39.4,110,35,4,3,6,1,3,3,3,2,1,4.707547,4,5,55,8.7,2,3.019608,1,2
1,1,39.9,72,60,1,1,5,2,5,4,4,3,1,4.707547,4,4,46,6.1,2,3.019608,1,1
2,1,38.4,48,16,1,1,1,1,1,3,1,2,3,5.5,4,3,49,6.8,2,3.019608,1,2
1,1,38.6,42,34,2,1,4,1,2,3,1,2,1,4.707547,1,5,48,7.2,2,3.019608,1,1
1,9,38.3,130,60,3,3,1,1,2,4,1,2,1,4.707547,4,5,50,70,2,3.019608,1,1
1,1,38.1,60,12,3,3,3,1,3,4,3,3,2,2,4,5,51,65,2,3.019608,1,1
2,1,37.8,60,42,3,1,1,1,3,3,1,2,1,4.707547,4,5,46.295203,24.456929,2,3.019608,1,2
1,1,38.3,72,30,4,3,3,2,3,3,3,2,1,4.707547,3,5,43,7,2,3.9,1,1
1,1,37.8,48,12,3,1,1,1,3,3,2,1,1,4.707547,1,3,37,5.5,2,1.3,1,2
1,1,38.167917,71.913043,30.417355,3,1,1,1,3,3,1,2,1,4.707547,4,5,46.295203,24.456929,2,3.019608,2,2
2,1,37.7,48,30.417355,2,1,1,1,1,1,1,1,1,4.707547,4,5,45,76,2,3.019608,1,2
2,1,37.7,96,30,3,3,4,2,5,4,4,3,2,4,4,5,66,7.5,2,3.019608,2,1
2,1,37.2,108,12,3,3,4,2,2,4,2,2,3,6,3,3,52,8.2,3,7.4,3,1
1,1,37.2,60,30.417355,2,1,1,1,3,3,3,2,1,4.707547,4,5,43,6.6,2,3.019608,1,1
1,1,38.2,64,28,1,1,1,1,3,1,1,2,1,4.707547,4,4,49,8.6,2,6.6,1,1
1,1,38.167917,100,30,3,3,4,2,5,4,4,3,3,4.707547,4,4,52,6.6,2,3.019608,1,1
2,1,38.167917,104,24,4,3,3,2,4,4,3,2,3,4.707547,4,2,73,8.4,2,3.019608,3,1
2,1,38.3,112,16,3,3,5,2,3,3,1,1,2,4.707547,4,5,51,6,2,1,3,2
1,1,37.8,72,30.417355,3,3,1,1,5,3,1,2,1,4.707547,1,1,56,80,1,2,1,1
2,1,38.6,52,30.417355,1,1,1,1,3,3,2,1,1,4.707547,1,3,32,6.6,1,5,1,2
